10000 2
94 10 0
-84 66 1
-17 -70 1
-50 61 0
-12 -6 0
-77 49 1
-34 96 0
58 -5 0
-20 -29 1
-65 83 0
-92 45 1
0 71 1
98 -32 0
18 -39 1
-85 -12 1
-79 35 0
-39 82 1
80 -37 0
79 -17 0
16 37 1
33 -100 1
-63 70 0
-93 -89 0
-70 97 1
68 -56 0
76 21 1
-34 -94 1
-57 -2 0
-27 54 1
-53 -85 0
-99 -5 1
-34 -48 1
-16 -54 1
92 31 1
-16 -1 1
-60 -57 1
39 26 0
64 -51 1
77 91 1
-93 -76 0
-34 71 0
-56 5 0
21 1 1
13 -60 1
-55 77 0
-63 -97 1
26 -93 0
55 -35 1
8 -87 1
70 -43 1
69 -40 0
-21 -60 0
-86 23 1
-96 40 1
10 -77 1
86 -11 1
-99 63 1
58 1 1
-77 89 0
44 64 1
70 100 0
37 73 0
86 72 0
12 81 0
-51 57 0
-10 -66 1
-48 93 0
-53 -69 0
-98 23 1
-79 -43 0
-67 7 1
96 18 0
-2 -82 1
-94 38 1
-54 -22 0
53 -64 0
11 -16 0
68 -28 1
-82 -63 1
-20 -5 1
95 68 0
-99 9 0
39 -99 0
61 96 0
-87 73 0
50 75 0
85 59 1
-84 -97 0
47 -22 1
-46 -54 1
-92 -37 1
48 70 0
-52 24 0
50 100 1
-50 -96 1
67 12 0
50 61 1
-48 0 0
42 -22 0
-64 -3 1
38 -29 1
-57 76 0
51 -50 0
86 4 1
-4 96 1
87 -99 0
-96 42 0
77 25 0
-74 -40 1
10 -6 1
-99 -73 1
-40 -17 0
41 19 0
15 2 0
-74 46 0
48 -78 0
93 53 0
-29 57 0
77 -60 0
-51 84 0
85 -83 1
21 -81 0
29 -36 0
30 -56 0
-47 0 0
26 2 1
-69 -39 1
-40 19 0
64 -8 1
-86 -62 0
-7 -37 1
-81 6 1
-80 65 1
67 74 1
9 83 0
65 30 1
-18 73 1
-59 6 0
100 20 1
79 89 0
-56 62 0
44 -46 0
-55 -34 0
0 17 1
-15 -60 0
43 71 1
49 -32 0
-22 -42 1
-63 -50 0
-58 48 1
6 60 1
48 -8 1
-98 5 0
-87 55 1
-24 88 1
99 -62 0
44 -11 0
-100 -55 0
-65 -42 0
79 -11 0
88 -40 0
3 -77 1
-100 93 0
-48 -34 1
39 93 1
-79 98 0
68 1 0
-23 77 1
-80 11 0
-75 8 1
98 59 1
98 -69 1
-58 -42 0
-42 10 0
100 -8 0
61 -12 1
-20 98 1
16 19 1
96 -12 0
-79 61 1
-55 -56 1
-43 69 1
-44 -75 0
29 -98 1
-91 52 1
84 -54 0
-7 66 0
24 5 0
10 -58 1
-91 76 1
-52 47 0
-61 33 1
-62 -18 1
-55 -1 0
33 -41 1
-75 -3 0
-89 32 0
43 49 0
-58 -56 1
-92 -81 0
74 -21 1
79 46 1
28 78 1
14 79 0
12 -100 0
21 82 1
70 -16 1
28 22 0
5 49 1
-60 -68 1
-88 -23 1
-1 7 1
50 10 0
78 -94 0
88 -91 0
53 -79 0
42 -34 0
-28 70 0
-92 -30 0
5 26 1
44 14 1
-39 -95 1
13 33 1
11 76 0
-55 -40 0
47 73 1
26 -92 1
-11 -76 0
68 58 0
47 5 1
23 10 1
79 -23 0
34 -73 1
45 -78 0
7 -81 1
-38 -33 0
59 -76 1
8 72 0
46 -34 1
-52 48 1
-48 41 0
35 -47 1
-76 -59 1
-21 98 1
-21 -76 0
81 -71 1
22 18 1
7 -39 0
-56 -58 0
9 -43 1
-100 29 1
100 12 0
-24 -54 1
85 -99 0
49 -44 1
-94 66 1
-27 93 0
20 -69 0
94 12 0
-78 -85 0
50 -65 0
51 14 1
-35 -86 1
73 73 0
-92 98 1
52 -89 0
-100 -31 0
-90 -39 1
17 87 1
-20 32 1
69 -4 1
1 30 1
35 23 1
-99 98 0
-80 32 0
61 -60 0
-100 44 0
23 60 0
51 -95 0
-50 -42 0
-14 84 0
34 20 1
-59 -3 1
-11 70 1
35 77 0
-16 -76 0
35 -87 1
-14 -33 1
-21 75 0
-30 21 0
-3 -95 1
-44 34 0
35 23 1
57 81 0
-96 43 1
-4 48 0
-78 35 0
-72 -44 1
-52 -28 1
71 -67 1
30 8 1
96 3 0
69 -7 0
-88 -62 0
-16 37 0
-54 46 0
61 -50 1
-100 75 1
-15 -72 1
57 -1 1
-64 64 1
61 66 1
53 -31 1
60 -63 1
-55 -8 0
22 43 1
82 -65 0
61 -23 0
31 25 1
-66 -36 1
71 93 0
-2 53 0
97 -54 0
-40 80 0
8 82 0
-25 -4 1
33 7 1
-86 -36 1
29 -23 1
94 61 1
-34 6 0
-94 86 1
70 -78 0
0 -23 0
32 -90 0
-50 -40 1
48 13 0
-38 -49 1
78 -63 1
-10 -58 0
29 -73 1
42 21 1
-95 39 0
73 53 0
-52 86 0
-94 41 1
10 58 0
-25 89 0
-5 51 0
20 52 1
-39 81 1
7 59 1
44 23 1
-18 23 1
92 54 1
59 -41 0
-30 53 0
-4 -90 0
14 73 1
27 -91 0
82 50 0
-34 -92 0
-69 97 1
-85 -69 0
-83 52 1
43 -77 0
9 -59 0
-64 -79 0
3 -17 0
-72 41 0
59 -29 1
72 -72 0
54 -9 1
-91 -53 1
66 9 0
57 -82 1
-8 5 0
-13 -42 1
0 -3 1
66 80 1
65 -64 0
46 100 0
6 87 0
-19 75 1
32 44 1
14 -16 1
68 86 1
2 -100 1
-48 81 0
11 -57 1
-24 -60 0
83 -17 1
73 77 0
-54 50 0
-5 2 1
45 -98 0
-26 8 1
60 -14 0
-68 -72 0
24 39 0
-75 61 1
31 -6 1
78 -16 0
-77 -93 1
89 60 0
-98 -8 1
-21 5 1
40 71 1
37 0 0
-96 -38 1
-51 -56 1
-29 11 1
10 -97 1
22 38 1
35 -87 0
-10 47 0
85 18 1
-30 61 0
72 42 1
5 59 1
-11 -98 1
-3 -15 1
-67 -34 0
-32 -92 1
96 -31 0
38 92 0
73 47 1
93 -39 0
72 2 1
-17 66 0
-9 -42 0
-87 -28 0
33 62 0
50 -25 0
-37 49 0
-32 96 0
-14 54 1
-52 -72 1
80 96 0
-17 -69 0
37 35 0
56 6 0
61 -19 0
0 -2 0
-47 62 1
-67 -35 0
-22 71 0
-89 46 1
-37 -89 1
-75 42 0
-71 58 1
-95 98 0
-47 45 1
42 89 1
-51 -59 0
-77 16 1
-22 -59 1
34 -70 1
47 70 1
82 -32 1
44 39 0
38 38 0
49 -36 0
49 -14 0
45 98 1
-57 7 0
-74 -17 1
82 17 0
20 -90 1
68 99 0
78 -3 1
-16 -39 0
71 -42 1
32 -93 1
-96 -69 1
-95 65 1
59 -90 1
47 -66 1
26 100 1
-46 -67 1
-45 -20 0
-64 -8 1
21 31 0
-3 5 1
-86 31 1
-90 88 1
-37 -100 1
-75 65 1
57 96 0
-73 -92 0
-26 86 0
93 -75 1
-42 -91 0
-61 -55 0
40 -92 0
26 -37 1
2 -31 1
78 -6 0
-71 -60 0
-21 -80 1
77 -57 1
-14 6 0
-52 67 1
-98 15 1
-55 -68 0
25 -44 0
14 -25 0
90 -29 1
87 -58 0
-70 -28 0
50 5 1
80 18 1
60 -34 1
73 41 1
-92 -13 0
20 81 1
-17 -20 1
69 -32 1
-16 -80 1
93 36 0
-15 31 1
100 58 1
81 22 0
47 -66 0
89 10 0
-93 7 0
-37 18 1
-29 17 0
77 -27 0
14 93 1
-87 27 1
12 -29 0
68 72 0
-90 -60 1
-68 -91 0
-74 -13 0
-30 -11 0
7 -87 1
100 22 0
-4 -23 0
33 47 1
47 83 1
-17 17 1
2 6 1
7 -82 1
-20 -11 0
-87 -100 1
-49 -42 0
71 -1 1
73 98 1
93 -69 0
98 -79 1
-52 38 1
-76 61 0
-42 -26 1
-92 25 1
-69 -79 0
43 -4 0
95 -55 1
-36 65 1
-57 94 1
93 -57 1
-6 90 1
-18 44 0
-78 2 0
-52 -55 1
-65 -30 0
-3 -22 1
-19 77 0
-44 -6 0
40 -73 0
-94 81 0
95 -99 1
-58 24 0
24 25 1
-37 38 1
29 -28 1
-91 100 0
-74 98 1
10 -32 1
-86 -2 0
-24 16 1
31 -97 0
-61 -67 0
38 100 0
-30 85 0
-40 -30 1
90 -51 0
9 26 1
-47 65 1
-39 -2 1
24 56 0
0 21 0
63 43 0
49 -83 1
-69 -51 1
-15 32 0
93 34 1
-52 -61 1
-7 -90 0
-65 20 1
34 -98 0
81 95 0
-40 -23 0
-95 -21 0
73 -63 0
56 -53 0
-49 64 0
94 -44 1
98 -87 1
14 31 0
66 -15 1
69 71 1
-77 16 1
11 37 1
-17 -94 0
67 95 1
12 -43 0
24 -17 0
40 -34 1
53 85 1
-73 -69 0
-26 -78 0
-82 -55 0
-26 -68 0
65 -38 0
-82 48 0
-45 3 0
18 59 0
44 -4 0
12 -53 1
-62 -75 0
-89 -54 0
8 1 0
31 69 0
-81 99 1
-93 -50 1
-25 -81 0
12 -41 0
-92 55 1
72 -8 0
-25 36 0
9 -88 0
26 -23 0
-85 -92 0
-41 -31 1
-75 0 1
-85 93 0
-31 -4 0
-9 -29 1
46 -72 0
56 66 0
21 73 1
-51 82 0
13 -84 0
-50 -82 0
99 89 0
18 -57 1
21 -45 1
-19 44 0
9 -34 0
-22 -9 0
49 -28 1
4 -15 0
95 79 0
24 -85 0
77 -64 1
17 -12 0
-33 79 0
83 42 0
-94 75 1
-82 0 0
-33 -97 0
-24 -57 0
-97 96 1
48 45 0
42 3 1
11 -84 1
-84 89 0
-17 -46 0
1 73 0
71 -100 1
95 70 1
78 -51 0
78 -55 0
-90 -23 1
24 2 1
-25 -21 1
-72 68 1
61 93 0
-58 66 0
-10 33 1
-39 47 1
-14 -68 1
43 43 1
-96 65 0
1 -76 0
35 -51 0
-32 -62 0
99 -95 0
-38 23 0
-77 -46 0
18 -53 1
-9 -92 0
90 -2 1
-78 -31 0
79 66 1
-71 9 0
56 25 1
-94 66 1
17 42 1
-34 -10 0
-76 81 0
-12 -29 0
2 9 1
92 35 1
27 56 0
-22 42 0
10 70 1
-16 -65 0
-58 -85 0
-99 -12 1
36 -56 0
-8 48 1
92 -33 0
39 -81 1
52 15 0
98 -36 1
54 97 0
-15 71 0
30 42 1
85 37 1
-3 26 1
-72 55 1
92 77 0
-93 12 0
81 81 0
26 -64 0
58 66 0
-91 5 1
-2 54 0
-36 -7 1
-96 49 0
0 100 1
38 73 1
89 94 0
-28 -100 1
-80 72 0
67 -45 0
30 61 1
59 39 0
-80 29 1
-71 -4 1
57 80 0
19 98 1
56 78 1
41 4 1
0 8 1
-7 1 0
-27 -94 0
13 86 1
4 -74 1
-57 -24 1
-89 81 1
-5 -66 0
-1 -77 1
-56 12 0
-27 -47 0
88 49 0
-98 -87 1
-43 75 1
72 92 0
-91 -50 1
5 42 0
-58 -61 1
-53 14 0
-58 -2 0
-100 39 1
-17 30 1
39 -84 0
34 -26 0
21 7 0
-77 76 1
61 -79 0
12 -54 1
36 76 1
-12 -16 0
92 48 0
69 22 0
35 33 1
72 -50 0
87 -85 1
-68 93 0
27 10 1
-27 -1 0
-20 54 1
87 -14 0
-39 -87 0
57 -60 1
41 -6 1
-20 -97 0
-58 64 1
46 21 0
-47 35 0
69 -20 1
-65 -71 1
-42 -12 0
28 78 1
-33 100 1
-48 48 1
-28 32 1
-43 -61 0
-26 49 1
7 7 0
17 -14 1
40 76 0
9 -95 1
-72 -36 1
-3 -5 1
44 -20 1
59 68 0
-4 -12 1
-59 68 0
-85 55 0
11 9 0
-27 -94 0
-59 -84 0
-75 98 0
31 13 1
-94 -65 1
-6 89 0
-88 28 1
-42 -82 1
-49 -8 0
-29 -36 1
-82 -67 1
-51 -1 1
-44 -68 0
47 -88 1
8 50 1
-43 -88 1
-40 27 0
53 93 1
36 51 0
-43 -85 1
-51 -38 1
34 33 0
25 -4 0
79 -89 0
37 -4 1
78 73 1
-89 33 1
99 6 1
32 45 0
-73 -19 0
-100 -3 0
-60 9 0
-34 55 1
43 87 1
29 65 0
4 36 0
35 78 0
-31 -61 1
-75 -56 1
-75 85 1
-85 -5 1
-55 -69 0
-16 -6 1
63 49 0
-41 -92 1
-26 75 0
-22 -85 1
75 60 0
44 -38 1
-95 -65 1
82 59 0
63 92 1
81 -66 1
-70 -94 1
-72 -14 0
88 90 1
46 91 1
24 99 1
-71 71 0
-90 72 0
-10 -68 1
39 -17 1
11 24 1
-43 -28 1
-97 -27 0
45 3 1
16 -69 0
8 76 1
39 -14 1
74 11 0
-33 78 0
-88 72 0
21 19 0
-54 67 1
15 -52 1
-64 -20 1
-62 77 1
-24 83 1
-5 72 0
12 68 0
-93 97 1
-24 21 1
-65 97 0
1 88 0
-57 -27 0
-74 -50 0
11 -20 1
25 63 1
33 40 1
3 -95 1
-12 90 0
23 -92 0
4 -38 0
-58 -3 1
-31 56 1
-4 69 0
100 38 0
78 -99 0
52 -6 1
45 -59 1
-96 86 1
77 63 1
76 -39 0
67 41 1
50 96 1
-77 81 1
-87 48 0
-88 18 1
-22 20 0
-51 -15 0
43 -51 0
-40 -50 0
49 -56 0
87 -34 1
92 20 0
90 16 0
-32 74 1
-80 -51 1
73 -70 0
-4 -58 1
76 -100 1
-51 69 0
3 -2 0
-14 -56 0
100 5 1
-36 -8 1
30 22 0
-74 -44 1
50 -92 1
45 -34 0
-54 62 1
-41 45 0
-91 -30 0
-8 -97 0
12 -48 0
47 65 0
-37 -90 0
0 3 1
28 57 0
-48 2 0
54 -95 0
65 72 0
59 -24 1
42 19 1
-32 99 0
13 -78 0
79 5 0
75 -23 0
81 14 1
78 -67 0
53 -1 1
28 -64 0
45 3 0
-34 96 0
-53 18 1
-21 13 1
9 -100 1
-75 -8 1
8 61 1
-84 -7 1
52 93 1
15 -71 0
-42 69 1
-12 -17 1
28 -5 1
-68 -15 1
-98 32 1
48 94 0
-64 29 0
59 35 1
-56 63 0
36 -55 1
33 53 0
-31 82 1
-78 9 0
-97 79 0
-49 2 0
-78 -8 0
77 -64 0
-87 72 0
-98 -58 0
26 -21 1
55 -24 1
64 -51 1
-1 -61 0
-74 50 0
34 97 1
-8 -72 0
-59 60 0
85 45 0
51 -51 0
72 38 0
-23 -13 1
22 51 0
-17 68 0
14 -54 1
-80 88 0
57 4 0
6 1 1
-29 -22 0
-76 85 0
-36 100 0
-97 69 1
-38 73 1
85 -40 0
-36 -8 1
55 -69 0
96 26 0
87 -15 0
-73 10 0
-96 25 0
-19 -7 1
-54 -33 0
69 -8 0
-100 68 1
-37 -28 0
-8 -27 1
64 -71 0
-74 94 1
28 -96 0
14 66 0
-1 60 0
54 69 0
9 22 0
-80 43 1
83 -50 1
-30 19 0
-80 -74 1
-49 -54 1
-4 98 1
-76 62 0
35 54 1
81 -29 0
-70 79 0
-13 -5 1
-51 -8 1
70 91 0
28 35 0
26 38 0
-100 49 1
40 37 0
-78 -32 0
36 6 0
88 13 1
15 -36 1
-28 -59 0
-33 100 1
-93 100 0
82 43 0
-7 94 1
-86 4 0
-86 -44 1
27 67 1
68 -20 1
50 19 0
62 -8 0
-56 -8 0
-32 -10 0
-97 19 1
12 99 0
-28 37 1
60 43 1
7 58 0
-22 -34 0
-54 61 0
-45 -19 1
-94 93 1
34 -94 0
-68 78 1
10 68 0
-68 32 0
-93 33 1
90 18 1
-27 0 1
-35 -87 1
36 23 1
9 -4 0
-20 35 1
-26 -90 0
4 -87 0
-96 -53 1
94 19 0
-48 -79 0
98 73 0
88 -23 0
-22 -7 1
23 35 1
90 75 1
-79 24 0
27 66 0
12 71 0
20 43 0
-72 -4 0
22 76 0
-52 42 0
67 39 1
72 -13 0
3 -24 1
42 -80 0
77 18 1
-81 -84 1
25 9 1
43 59 1
32 -36 0
95 53 1
-96 -32 1
58 -77 0
75 83 0
-70 71 1
-9 -93 0
-6 -34 0
68 90 1
99 -45 1
-92 -50 1
23 61 0
49 57 1
-18 81 0
76 -61 0
-99 -58 1
64 -99 1
-93 2 1
-29 26 0
-27 99 0
84 -73 0
66 24 1
-80 54 1
-14 78 0
74 96 1
-16 56 1
-1 -24 0
-5 -46 0
-53 -88 1
-25 -9 1
53 17 1
-62 60 0
-85 -97 1
-88 -52 0
-85 -99 1
-97 -77 0
48 70 1
58 -23 0
-13 58 0
27 -52 0
32 -1 0
96 16 0
-47 60 0
-44 -24 1
50 97 1
-7 37 1
-20 92 1
-55 15 0
77 -13 0
-39 66 0
78 57 0
-99 -52 0
-29 -87 0
-81 88 0
63 99 1
94 61 0
-100 61 0
12 41 1
53 19 0
22 -6 0
-60 -22 1
-68 25 1
-57 83 1
-24 6 1
97 27 0
1 -38 1
-28 -49 1
-55 -98 1
28 31 1
-22 74 1
12 24 1
29 -47 1
-41 -93 0
-79 -72 0
-83 71 0
36 -90 1
1 -27 0
-91 66 1
-20 -24 0
-24 -74 0
-63 -53 1
-69 4 1
9 91 1
-40 -13 1
61 -48 1
-90 -62 1
35 -34 0
-6 -95 1
-41 -59 0
76 -14 0
23 -98 0
18 -37 1
-39 -6 1
-90 -67 1
27 57 1
28 93 0
60 -17 1
1 33 0
14 27 0
61 -4 1
-85 25 1
-34 90 0
-24 -20 1
91 97 1
24 -29 0
-8 -32 0
45 51 1
-26 54 0
22 66 0
3 -36 0
31 -51 1
-52 -27 1
-19 85 0
55 92 0
-21 9 0
-48 84 1
-39 4 1
-29 77 1
74 54 0
-34 -72 1
-11 40 0
95 4 1
-45 -35 0
-72 88 1
-47 -64 0
-55 -5 0
84 21 0
-69 -81 0
-18 -64 0
-55 -38 0
-53 -20 0
-17 42 1
13 97 0
-11 -91 0
65 -49 1
54 -77 1
-81 49 0
-79 93 1
-35 9 0
-58 93 1
56 -62 1
36 86 1
-51 23 1
-43 78 1
51 5 0
-35 68 0
-24 30 1
-64 48 0
80 -2 1
-87 -20 0
-90 8 0
8 80 1
40 -36 1
-29 72 1
49 90 1
-63 -71 0
60 -30 0
-65 51 0
-26 -93 0
47 -83 0
-21 -69 0
75 22 1
38 -6 0
82 -4 0
55 93 0
-93 0 0
-77 2 0
-98 -15 1
56 75 1
-84 -93 1
65 97 1
-62 45 1
60 -42 0
76 -38 0
37 55 0
53 -34 1
-83 -3 0
-96 -62 0
-43 -87 1
-8 1 1
68 85 0
43 -96 0
-87 -82 1
80 -69 0
85 -5 0
21 40 0
85 100 0
76 -38 1
47 54 1
95 -86 1
34 94 0
-98 -76 0
76 -95 1
10 -44 1
-70 16 0
-30 -61 0
-13 39 0
84 -6 1
78 40 0
-37 55 0
-33 99 1
-26 99 1
-92 12 1
19 40 1
15 85 1
72 96 1
46 -68 1
16 2 0
67 52 1
85 -19 1
52 -28 0
64 -28 1
-30 -12 0
-36 58 1
-48 -81 1
81 57 0
13 -72 0
-76 25 0
2 -34 1
8 -24 1
-99 -53 0
-69 -33 0
50 -10 0
-51 16 1
18 98 0
-25 -22 1
37 -86 0
-94 69 0
-27 -36 1
-29 89 1
-86 27 0
-97 -76 1
-94 47 1
90 14 0
16 -5 0
76 -62 0
-89 65 0
78 -46 1
18 1 1
-15 -51 1
-100 49 0
-74 -67 0
-47 54 0
-67 -77 0
73 32 0
-21 21 0
-64 -19 1
51 64 0
39 36 1
-15 18 0
-88 -1 0
59 84 1
35 -11 0
30 -31 1
86 65 1
-7 63 0
67 33 1
-13 -42 1
-63 -80 0
0 100 1
4 96 0
-99 55 0
88 -44 0
-60 12 1
33 -50 1
50 81 1
89 25 0
46 99 0
-32 46 1
36 -34 1
46 46 0
32 7 0
-50 -35 0
41 18 0
-71 -41 1
23 -68 1
71 -61 0
81 -43 0
66 -76 1
-20 -26 1
85 -99 1
80 72 0
-99 56 1
-12 -90 1
65 -67 1
92 35 0
80 24 1
-18 -29 0
9 -65 1
43 52 0
-17 -3 0
-11 68 1
80 45 0
-74 26 1
-75 67 0
27 -58 0
45 -77 1
35 -12 0
-9 42 0
-83 22 1
19 -32 1
-17 -63 1
97 93 1
-25 -17 0
49 71 0
27 -93 0
9 25 1
-5 -16 1
68 17 1
-56 -21 1
-5 16 1
-6 29 0
0 -15 0
85 -95 0
14 -64 0
-4 12 0
35 -96 0
95 51 0
36 8 1
3 61 1
-59 -75 1
-53 68 0
83 59 1
66 -79 1
25 18 0
-33 -92 0
17 52 0
74 -31 0
-56 -5 1
20 91 0
-40 -92 0
-87 -96 0
-82 -40 1
43 49 1
9 8 0
-25 -91 1
-37 -72 0
91 -40 1
-8 -68 1
-27 -1 0
4 -21 1
-44 -17 1
56 -43 1
-34 83 1
-49 51 1
75 -77 0
77 -18 0
-69 55 1
14 38 1
-92 77 0
18 21 1
96 66 1
94 5 0
-97 97 1
-70 -41 0
66 -56 0
76 25 1
51 -14 1
35 28 0
-86 -42 1
61 56 0
-27 21 1
-3 46 1
100 84 0
-67 -50 0
49 37 0
89 -87 0
-59 27 0
-31 -6 1
21 -6 0
48 -87 1
-100 6 1
31 -85 1
-13 28 1
46 -98 1
-85 14 0
26 -47 0
-78 -25 1
65 84 1
90 19 0
80 53 1
-84 -61 0
-25 94 0
38 -47 1
-3 79 1
89 91 0
-27 94 1
62 -87 0
-95 57 1
-94 92 1
-99 -19 0
-50 -1 1
30 -78 0
56 69 1
72 7 1
-4 0 1
-41 60 1
-90 11 0
-95 -36 1
-81 5 0
75 16 1
-3 93 1
-76 -70 0
-12 -45 1
-86 -77 0
3 -65 1
32 51 1
3 -75 0
18 40 1
70 -5 0
-55 73 1
0 15 0
-72 73 0
-26 29 0
-94 -89 0
-55 87 0
-88 -54 1
97 72 1
39 9 1
-20 -53 0
-22 -96 1
-65 42 0
23 -82 0
-98 -7 0
19 79 1
29 0 1
-79 -100 1
-46 15 0
98 -2 0
45 54 1
-95 -38 0
-89 -62 1
-17 41 0
11 19 0
-83 -97 1
67 -79 0
45 93 1
58 -91 1
-55 32 0
-67 -77 0
63 -46 0
-15 -11 1
39 -78 1
41 61 1
81 0 1
45 -78 1
93 -8 1
89 74 1
19 -97 1
93 -68 0
-77 -10 0
-13 74 1
5 -51 1
46 15 0
70 -98 0
55 68 1
-88 -73 1
33 56 1
67 -28 1
-24 17 0
83 80 1
-51 9 1
4 -48 0
46 -83 0
-58 7 1
23 -7 1
-85 84 0
33 83 1
27 -100 1
-84 -88 0
-10 -65 0
-47 -51 1
-8 38 1
-92 15 0
38 -53 1
44 -96 1
71 -56 1
-20 -59 1
81 -95 1
76 -85 0
8 -73 1
54 35 0
-19 63 0
85 34 1
94 -22 0
47 -34 0
-29 41 1
29 -35 1
-97 -65 1
22 -73 1
-26 11 1
-92 10 1
60 2 1
32 -98 1
-23 32 0
10 70 1
-97 -56 1
8 -89 1
-51 79 1
14 -51 0
92 25 0
16 79 0
43 80 0
55 -55 1
-35 -88 1
82 14 1
4 21 0
68 8 1
57 1 1
-76 -14 0
88 65 0
63 55 0
98 100 0
-59 -2 1
-59 7 1
-70 -99 0
-20 -48 0
22 11 1
-52 75 1
-15 52 1
-81 94 0
-79 -9 0
98 -46 1
42 -94 0
-11 56 0
-17 -89 0
71 -74 1
29 -59 1
-60 -16 0
-76 -65 0
48 34 0
-18 -52 0
82 -69 1
-99 -89 1
46 40 1
-17 97 0
65 -96 0
-65 -9 1
-27 -62 1
21 -51 1
17 68 0
-86 -67 0
-9 -71 1
-56 -65 0
12 -10 1
-90 -68 1
-97 -66 1
17 57 1
23 42 0
-35 40 1
64 2 0
37 98 1
-6 70 1
71 84 0
47 78 1
99 -50 0
59 -64 1
-11 -5 0
12 17 1
72 90 1
44 -63 0
-72 -99 0
-18 41 1
-42 23 0
58 84 0
11 84 0
4 30 1
4 -17 0
88 36 1
99 18 1
-57 57 0
69 21 1
-65 21 0
86 22 0
-57 -11 1
-43 31 0
17 74 1
-80 -8 1
-65 -92 0
85 1 1
-4 7 1
-42 -99 0
69 55 0
25 -89 1
80 22 1
-2 -79 1
9 4 0
65 100 1
69 -73 1
-74 74 1
-25 -78 1
43 90 1
-77 -82 0
-39 -94 1
-88 -80 1
5 33 0
-90 -60 0
70 34 0
-6 -97 0
-52 18 1
-53 16 1
-2 43 0
76 72 0
-6 54 1
33 -55 0
70 51 0
-28 -5 0
89 24 0
76 97 1
-94 25 1
80 -69 1
-82 -38 1
84 1 1
-27 30 0
-26 -86 1
-50 -89 0
59 14 0
7 73 0
-58 97 0
-50 31 1
45 95 1
-31 42 1
23 -89 1
7 -54 0
18 -59 0
-23 -78 1
-47 65 1
24 -36 1
-74 -56 1
97 -27 0
-29 -40 0
-18 24 1
76 45 0
41 74 1
-82 12 1
48 -29 0
-66 -82 0
-20 10 0
-35 -73 1
73 32 1
75 -80 0
14 -75 0
-72 -43 0
-56 76 0
-97 -35 1
83 8 0
59 98 1
-44 -71 1
-84 -3 0
24 -8 1
-41 71 0
29 -62 1
23 -84 0
-13 -42 1
83 89 0
-36 73 1
62 97 1
99 -14 1
-9 -17 1
-35 -85 1
40 -58 0
13 73 1
-56 -51 1
16 52 0
35 28 0
43 -11 1
-27 64 0
-88 33 1
91 -2 0
33 34 1
76 25 0
-28 -27 0
25 98 1
-31 65 0
60 72 0
39 5 0
78 45 1
47 10 0
85 -26 0
-76 21 1
-22 13 0
-52 -17 1
-44 -25 0
1 -63 0
68 57 0
-56 53 0
-61 9 0
53 -98 0
-64 -15 0
63 6 0
91 -57 0
23 -97 1
-20 -28 0
28 90 0
9 58 0
-93 -32 0
91 -47 1
4 -58 1
-87 -47 1
-80 15 1
-25 45 1
-61 38 0
-69 -45 1
13 -2 1
54 58 1
-94 89 1
23 -81 0
-92 -72 1
62 -28 0
-74 -44 0
57 -44 1
75 66 0
62 9 0
85 39 0
-9 2 1
22 60 1
48 -27 0
91 -74 1
62 68 0
-34 95 0
22 89 0
-15 -48 1
79 -44 0
38 70 0
-91 66 1
44 -65 0
-93 -82 1
49 55 1
35 -86 1
-80 -52 0
-14 -51 0
36 5 0
68 -78 0
-100 -93 1
37 38 0
-57 65 1
7 -59 0
-58 -91 0
-84 72 0
-83 -60 0
-85 76 0
67 -44 1
75 100 0
-16 -42 1
-70 15 1
-80 5 0
89 -95 1
83 60 0
67 -92 0
-22 -56 1
-25 -98 1
-70 -80 1
24 -4 0
-7 80 0
-60 -35 1
80 72 1
1 44 0
60 93 0
67 1 1
-8 12 0
-21 81 1
-17 99 1
0 64 1
87 22 0
72 75 0
13 97 0
-52 36 1
73 -44 1
51 -21 1
-14 -99 1
28 52 0
70 59 0
-67 76 0
-87 74 1
87 95 1
-35 -1 1
41 -49 0
-55 6 0
49 -45 0
21 10 0
34 -82 1
46 42 1
79 1 1
-77 69 0
-40 -18 1
-8 89 1
53 74 1
88 76 0
53 -68 1
-39 14 1
-21 32 0
10 -37 0
-57 -68 1
-22 -61 0
-62 52 0
-76 -13 0
-78 -62 0
66 17 0
-99 -43 0
45 77 0
59 90 0
-49 -88 1
7 -65 1
5 17 1
6 87 1
5 -56 1
-73 87 0
73 -69 0
-8 48 0
37 34 0
43 -12 1
-79 93 0
86 36 1
39 -77 0
44 92 1
60 49 0
-16 12 0
83 -31 1
-63 -83 1
17 -12 1
71 -65 1
-59 -76 1
2 -26 1
-55 49 0
90 40 0
78 -98 1
-52 11 0
55 -50 1
-44 -43 0
-61 62 1
-2 46 0
55 43 0
45 92 1
-67 64 0
62 -76 0
19 66 0
71 21 1
-24 -23 1
84 65 1
-86 99 1
80 15 0
78 -60 0
-8 -21 0
-96 20 0
-18 97 1
-24 65 1
7 -62 1
13 -5 1
-48 -52 0
-26 -33 0
100 81 1
84 9 1
98 65 0
74 11 0
-31 27 0
-36 31 0
72 62 0
58 74 1
-46 -6 0
25 86 1
-61 -47 0
11 -4 1
9 -5 1
34 92 1
-74 95 1
34 -67 0
-13 -20 1
43 -19 0
59 -21 0
-51 -57 1
-84 50 0
27 72 0
-60 66 1
-72 61 1
10 37 0
-51 17 1
80 -74 0
-11 -98 1
-31 -35 0
